barcode,title,author,subject,description,category,media,publisher,publocation,pubdate,edition,isbn,type,thumburl,keywords,callnumber
9780070586703,Engineering Economics - Fourth Edition,"James L. Riggs, David D. Bedworth, Sabha U. Randhawa",Management,,,,,,,Fourth,978-0-07-058670-3,General,,,697
9788170299455,C++,Paulo Franca,Computer Science,,,,,,,,978-8-17-029945-5,General,,,671
9780748744596,Information Systems For You,Stephen Doyle,Computer Science,,,,,,,,978-0-74-874459-6,General,,,669
9788120315747,Using Microsoft PowerPoint 2000,QUE,Computer Science,,,,,,,,978-8-12-031574-7,General,,,364
9788120329874,Numerical Methods with Computer Programs in C++,Pallab Ghosh,Computer Science,,,,,,,,978-8-12-032987-4,General,,,674
9780070598393,Manufacturing Planing & Control (Fifth Edition),"Thomas E. Vollmann, William L. Berry, D. Clay Whybark, F. Robert Jacobs",Manufacturing,,,,,,,Fifth,978-0-07-059839-3,General,,,302
9780471591955,Behavioural Foundations of System Development,David Meister,Control Systems,,,,,,,,978-0-47-159195-5,General,,,696
9788129702753,Principles of Managerial Finance (Tenth Edition),Lawrence J. Gitman,Management,,,,,,,Tenth,978-8-12-970275-3,General,,,435
9788131703205,Introduction to Operations and Supply Chain Management,"Cecil C. Bozarath, Robert B. Handfield",Management,,,,,,,,978-8-13-170320-5,General,,,304
9789971511630,Modern Production/Operations Management (Eighth Edition),"Elwood S. Buffa, Rakesh K. Sarin",Management,,,,,,,Eighth,978-9-97-151163-0,General,,,303
9788175153134,Industrial Engineering and Management,Dr. Ravi Shankar,Management,,,,,,,,978-8-17-515313-4,General,,,305
9780826461285,Personal and Human Resources Management,G.A.Cole,Management,,,,,,,,978-0-82-646128-5,General,,,702
9789558233016,Intermediate Modes of Transport,Lanka Forum on Rural Transport Developent,Other,,,,,,,,978-9-55-823301-6,General,,,690
9789715610063,Disaster Management- A Disaster Manager's Handbook,Nick Carter,Other,,,,,,,,978-9-71-561006-3,General,,,439
9780444883780,Psychology of System Design,David Meister,Other,,,,,,,,978-0-44-488378-0,General,,,901
9788173199042,Computer Aided Simulations,"Lanka Udawatta,Buddhika Jayasekara",Designing,,,,,,,,978-8-17-319904-2,General,,,678
